Old Ward Code,New ward code,Ward,Borough,GCSE point scores - 2011,Public Transport Accessibility - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,City of London,363,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABFX,E05000026,Abbey,Barking and Dagenham,335,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABFY,E05000027,Alibon,Barking and Dagenham,333,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABFZ,E05000028,Becontree,Barking and Dagenham,327,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGA,E05000029,Chadwell Heath,Barking and Dagenham,340,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGB,E05000030,Eastbrook,Barking and Dagenham,330,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGC,E05000031,Eastbury,Barking and Dagenham,349,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGD,E05000032,Gascoigne,Barking and Dagenham,331,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGE,E05000033,Goresbrook,Barking and Dagenham,332,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGF,E05000034,Heath,Barking and Dagenham,326,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGG,E05000035,Longbridge,Barking and Dagenham,352,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGH,E05000036,Mayesbrook,Barking and Dagenham,339,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGJ,E05000037,Parsloes,Barking and Dagenham,332,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00ABGK,E05000038,River,Barking and Dagenham,337,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
